client_id;nom_client;type_client;ville;code_postal;agence_rattachement;canal_acquisition;date_creation;profil_paiement
CLI-0160;Laure Aubert;Particulier;Bordeaux;33000;Bordeaux;Bouche-à-oreille;2020-10-06;Standard
CLI-0005;Ulysse Aubert;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2020-10-29;Standard
CLI-0067;CCAS de Muret 25;Professionnel;Bègles;33130;Bordeaux;Partenaire;2020-10-29;Standard
CLI-0031;CCAS de Muret 85;Professionnel;Pessac;33600;Bordeaux;Bouche-à-oreille;2020-11-03;Standard
CLI-0024;Ulysse Barbier;Particulier;Mérignac;33700;Bordeaux;Google Ads;2020-11-08;Standard
CLI-0088;Yasmine Rey;Particulier;Colomiers;31770;Toulouse;Prospection;2020-11-13;Standard
CLI-0018;Hélène Colin;Particulier;Mérignac;33700;Bordeaux;Site web;2020-11-15;Bon payeur
CLI-0147;Kevin Vidal;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2020-11-17;Litigieux
CLI-0068;Joëlle Aubert;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2020-11-18;Bon payeur
CLI-0084;Supérette Vival 71;Professionnel;Muret;31600;Toulouse;Site web;2020-11-21;Standard
CLI-0187;Franck Blanc;Particulier;Libourne;33500;Bordeaux;Annuaire pro;2020-11-21;Standard
CLI-0161;Alain Faure;Particulier;Talence;33400;Bordeaux;Prospection;2020-12-02;Bon payeur
CLI-0010;Gaëlle Chevalier;Particulier;Talence;33400;Bordeaux;Annuaire pro;2020-12-12;Bon payeur
CLI-0136;Camille Vidal;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2020-12-22;Bon payeur
CLI-0080;Elsa Faure;Particulier;Bordeaux;33000;Bordeaux;Annuaire pro;2020-12-25;Bon payeur
CLI-0108;Auto-école Conduite Plus 27;Professionnel;Tournefeuille;31170;Toulouse;Partenaire;2020-12-30;Lent
CLI-0012;Delphine Millet;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2021-01-01;Bon payeur
CLI-0159;SCI Les Tilleuls 57;Syndic;Mérignac;33700;Bordeaux;Site web;2021-01-25;Lent
CLI-0107;Serge Bonnet;Particulier;Colomiers;31770;Toulouse;Prospection;2021-01-26;Standard
CLI-0132;Yasmine Lefèvre;Particulier;Blagnac;31700;Toulouse;Partenaire;2021-01-28;Bon payeur
CLI-0116;William Brun;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2021-01-29;Bon payeur
CLI-0137;Damien Lefèvre;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2021-02-12;Standard
CLI-0126;Valérie Bonnet;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2021-02-22;Standard
CLI-0190;Rachida Renard;Particulier;Colomiers;31770;Toulouse;Partenaire;2021-02-25;Standard
CLI-0130;Rachida Renard;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2021-02-26;Standard
CLI-0002;Marc Brun;Particulier;Bordeaux;33000;Bordeaux;Site web;2021-03-01;Bon payeur
CLI-0101;Joëlle Perrin;Particulier;Libourne;33500;Bordeaux;Site web;2021-03-09;Standard
CLI-0115;Marc Guerin;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2021-04-10;Standard
CLI-0171;Cabinet vétérinaire Dorel 66;Syndic;Blagnac;31700;Toulouse;Prospection;2021-04-23;Standard
CLI-0016;Franck Dubois;Particulier;Bordeaux;33000;Bordeaux;Annuaire pro;2021-04-24;Standard
CLI-0180;Ulysse Millet;Particulier;Toulouse;31000;Toulouse;Bouche-à-oreille;2021-05-13;Standard
CLI-0049;Tiphaine Marchal;Particulier;Bègles;33130;Bordeaux;Annuaire pro;2021-05-16;Standard
CLI-0083;Lycée Saint-Exupéry 81;Collectivité;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2021-06-01;Standard
CLI-0099;Gaëlle Renard;Particulier;Bordeaux;33000;Bordeaux;Site web;2021-06-01;Bon payeur
CLI-0037;Pauline Barbier;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2021-06-02;Bon payeur
CLI-0178;Adrien Bonnet;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2021-06-09;Bon payeur
CLI-0077;Cédric Léger;Particulier;Bègles;33130;Bordeaux;Partenaire;2021-06-14;Standard
CLI-0186;Pauline Noel;Particulier;Bègles;33130;Bordeaux;Site web;2021-06-16;Bon payeur
CLI-0172;Nathalie Noel;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2021-06-21;Bon payeur
CLI-0167;Joëlle Berger;Particulier;Muret;31600;Toulouse;Partenaire;2021-06-25;Bon payeur
CLI-0184;Valérie Noel;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2021-06-27;Lent
CLI-0166;Nathalie Poirier;Particulier;Talence;33400;Bordeaux;Partenaire;2021-07-05;Bon payeur
CLI-0044;Résidence Belvédère 25;Syndic;Bordeaux;33000;Bordeaux;Bouche-à-oreille;2021-07-31;Standard
CLI-0063;William Barbier;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2021-08-02;Standard
CLI-0128;Hugo Brun;Particulier;Pessac;33600;Bordeaux;Prospection;2021-08-03;Bon payeur
CLI-0026;Quentin Perrin;Particulier;Bordeaux;33000;Bordeaux;Bouche-à-oreille;2021-08-04;Standard
CLI-0134;Ibrahim Perrin;Particulier;Toulouse;31000;Toulouse;Bouche-à-oreille;2021-08-04;Standard
CLI-0038;Joëlle Faure;Particulier;Talence;33400;Bordeaux;Prospection;2021-08-16;Standard
CLI-0028;Nathalie Chevalier;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2021-08-19;Bon payeur
CLI-0054;Cédric Colin;Particulier;Talence;33400;Bordeaux;Annuaire pro;2021-08-26;Standard
CLI-0150;William Lemoine;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2021-08-26;Standard
CLI-0082;Cédric Nguyen;Particulier;Balma;31130;Toulouse;Prospection;2021-08-30;Bon payeur
CLI-0163;Yasmine Girard;Particulier;Blagnac;31700;Toulouse;Partenaire;2021-09-01;Standard
CLI-0058;Elsa Gaillard;Particulier;Balma;31130;Toulouse;Annuaire pro;2021-09-12;Standard
CLI-0122;Hélène Bonnet;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2021-09-18;Standard
CLI-0154;Cédric Lemoine;Particulier;Talence;33400;Bordeaux;Annuaire pro;2021-10-30;Bon payeur
CLI-0071;Marc Roussel;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2021-11-03;Bon payeur
CLI-0123;Gérard Colin;Particulier;Blagnac;31700;Toulouse;Site web;2021-11-07;Standard
CLI-0113;SCI Les Tilleuls 4;Professionnel;Libourne;33500;Bordeaux;Prospection;2021-11-10;Lent
CLI-0066;Syndic Gestion Aquitaine 59;Professionnel;Balma;31130;Toulouse;Annuaire pro;2021-12-16;Bon payeur
CLI-0170;Alain Berger;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2021-12-18;Standard
CLI-0029;Alain Moreau;Particulier;Pessac;33600;Bordeaux;Site web;2022-01-13;Standard
CLI-0004;Quentin Guerin;Particulier;Bègles;33130;Bordeaux;Partenaire;2022-01-14;Standard
CLI-0165;Elsa Da Silva;Particulier;Bordeaux;33000;Bordeaux;Site web;2022-01-14;Lent
CLI-0100;Cédric Faure;Particulier;Mérignac;33700;Bordeaux;Partenaire;2022-01-18;Lent
CLI-0072;Gérard Bonnet;Particulier;Talence;33400;Bordeaux;Partenaire;2022-02-28;Bon payeur
CLI-0164;Cédric Brun;Particulier;Colomiers;31770;Toulouse;Bouche-à-oreille;2022-03-05;Standard
CLI-0023;Joëlle Millet;Particulier;Tournefeuille;31170;Toulouse;Site web;2022-03-18;Bon payeur
CLI-0069;Cabinet vétérinaire Dorel 18;Professionnel;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-03-19;Standard
CLI-0105;Gaëlle Roussel;Particulier;Muret;31600;Toulouse;Partenaire;2022-03-29;Standard
CLI-0103;Ibrahim Barbier;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2022-03-31;Standard
CLI-0155;Adrien Guerin;Particulier;Talence;33400;Bordeaux;Site web;2022-04-06;Lent
CLI-0035;Gérard Aubert;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2022-04-12;Lent
CLI-0133;SARL Toitures Sud 11;Syndic;Libourne;33500;Bordeaux;Site web;2022-04-16;Lent
CLI-0173;Valérie Blanc;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2022-04-22;Bon payeur
CLI-0087;Hugo Noel;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2022-04-23;Bon payeur
CLI-0183;Hélène Dupuis;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2022-04-24;Bon payeur
CLI-0021;Quentin Brun;Particulier;Bordeaux;33000;Bordeaux;Site web;2022-05-02;Standard
CLI-0162;Yasmine Gaillard;Particulier;Pessac;33600;Bordeaux;Annuaire pro;2022-05-03;Standard
CLI-0093;SCI Les Tilleuls 18;Professionnel;Libourne;33500;Bordeaux;Bouche-à-oreille;2022-05-07;Standard
CLI-0034;Gérard Noel;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2022-05-08;Bon payeur
CLI-0085;Pauline Faure;Particulier;Muret;31600;Toulouse;Partenaire;2022-05-08;Lent
CLI-0090;Hélène Renard;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2022-05-23;Bon payeur
CLI-0143;Gérard Colin;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-05-28;Bon payeur
CLI-0011;Serge Nguyen;Particulier;Pessac;33600;Bordeaux;Google Ads;2022-05-30;Standard
CLI-0081;Joëlle Millet;Particulier;Pessac;33600;Bordeaux;Site web;2022-06-06;Standard
CLI-0153;Adrien Roussel;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2022-06-14;Standard
CLI-0094;Garage Autoplus 11;Professionnel;Colomiers;31770;Toulouse;Bouche-à-oreille;2022-06-17;Standard
CLI-0191;Serge Aubert;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2022-07-04;Standard
CLI-0192;Ulysse Dubois;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-07-05;Standard
CLI-0193;Laure Nguyen;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2022-07-10;Bon payeur
CLI-0194;Résidence Belvédère 15;Syndic;Muret;31600;Toulouse;Google Ads;2022-07-14;Lent
CLI-0195;Marc Masson;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2022-07-17;Bon payeur
CLI-0196;Béatrice Robin;Particulier;Bègles;33130;Bordeaux;Annuaire pro;2022-07-18;Standard
CLI-0197;Marc Noel;Particulier;Libourne;33500;Bordeaux;Annuaire pro;2022-07-23;Bon payeur
CLI-0198;EHPAD Les Glycines 97;Syndic;Pessac;33600;Bordeaux;Bouche-à-oreille;2022-07-25;Standard
CLI-0199;Elsa Bonnet;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-07-29;Bon payeur
CLI-0200;Ibrahim Da Silva;Particulier;Mérignac;33700;Bordeaux;Annuaire pro;2022-08-02;Standard
CLI-0201;Inès Moreau;Particulier;Balma;31130;Toulouse;Google Ads;2022-08-03;Standard
CLI-0202;Camille Guerin;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2022-08-06;Bon payeur
CLI-0203;Rachida Dupuis;Particulier;Colomiers;31770;Toulouse;Annuaire pro;2022-08-08;Standard
CLI-0204;Camille Rey;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2022-08-09;Standard
CLI-0205;Garage Autoplus 11;Professionnel;Mérignac;33700;Bordeaux;Partenaire;2022-08-11;Standard
CLI-0206;Groupe scolaire Jean-Jaurès 72;Syndic;Colomiers;31770;Toulouse;Bouche-à-oreille;2022-08-13;Bon payeur
CLI-0207;Adrien Nguyen;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-08-15;Litigieux
CLI-0208;Gérard Rey;Particulier;Pessac;33600;Bordeaux;Prospection;2022-08-19;Standard
CLI-0209;Damien Colin;Particulier;Tournefeuille;31170;Toulouse;Annuaire pro;2022-08-23;Standard
CLI-0210;William Vidal;Particulier;Toulouse;31000;Toulouse;Prospection;2022-08-26;Litigieux
CLI-0211;Gérard Chevalier;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2022-08-28;Standard
CLI-0212;CCAS de Muret 64;Professionnel;Pessac;33600;Bordeaux;Partenaire;2022-09-01;Standard
CLI-0213;Garage Autoplus 32;Professionnel;Bordeaux;33000;Bordeaux;Bouche-à-oreille;2022-09-02;Lent
CLI-0214;Quentin Perrin;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2022-09-05;Bon payeur
CLI-0215;Émile Poirier;Particulier;Toulouse;31000;Toulouse;Google Ads;2022-09-06;Bon payeur
CLI-0216;Inès Vidal;Particulier;Bègles;33130;Bordeaux;Google Ads;2022-09-09;Lent
CLI-0217;Kevin Barbier;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2022-09-13;Standard
CLI-0218;Résidence Les Oliviers 90;Syndic;Pessac;33600;Bordeaux;Annuaire pro;2022-09-14;Lent
CLI-0219;Franck Gaillard;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2022-09-16;Standard
CLI-0220;Joëlle Nguyen;Particulier;Libourne;33500;Bordeaux;Site web;2022-09-19;Standard
CLI-0221;Gaëlle Robin;Particulier;Bordeaux;33000;Bordeaux;Google Ads;2022-09-21;Lent
CLI-0222;Béatrice Millet;Particulier;Bègles;33130;Bordeaux;Annuaire pro;2022-09-22;Bon payeur
CLI-0223;Yasmine Da Silva;Particulier;Bordeaux;33000;Bordeaux;Annuaire pro;2022-09-23;Standard
CLI-0224;Nathalie Roussel;Particulier;Colomiers;31770;Toulouse;Bouche-à-oreille;2022-09-25;Bon payeur
CLI-0225;Rachida Léger;Particulier;Tournefeuille;31170;Toulouse;Prospection;2022-09-26;Standard
CLI-0226;Béatrice Girard;Particulier;Bègles;33130;Bordeaux;Bouche-à-oreille;2022-09-28;Standard
CLI-0227;Hugo Masson;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2022-09-30;Lent
CLI-0228;Inès Dubois;Particulier;Blagnac;31700;Toulouse;Annuaire pro;2022-10-02;Standard
CLI-0229;Franck Noel;Particulier;Colomiers;31770;Toulouse;Google Ads;2022-10-04;Lent
CLI-0230;Salle de sport Ironfit 79;Professionnel;Mérignac;33700;Bordeaux;Partenaire;2022-10-05;Bon payeur
CLI-0231;Salle de sport Ironfit 3;Professionnel;Talence;33400;Bordeaux;Annuaire pro;2022-10-11;Bon payeur
CLI-0232;Kevin Renard;Particulier;Bordeaux;33000;Bordeaux;Partenaire;2022-10-14;Standard
CLI-0233;Ibrahim Dupuis;Particulier;Colomiers;31770;Toulouse;Site web;2022-10-16;Lent
CLI-0234;Alain Masson;Particulier;Blagnac;31700;Toulouse;Annuaire pro;2022-10-20;Lent
CLI-0235;Damien Aubert;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2022-10-23;Lent
CLI-0236;Marc Charpentier;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2022-10-30;Bon payeur
CLI-0237;Hugo Gaillard;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2022-11-03;Bon payeur
CLI-0238;Elsa Dubois;Particulier;Mérignac;33700;Bordeaux;Google Ads;2022-11-04;Lent
CLI-0239;Ibrahim Vidal;Particulier;Pessac;33600;Bordeaux;Annuaire pro;2022-11-08;Standard
CLI-0240;EHPAD Les Glycines 19;Syndic;Libourne;33500;Bordeaux;Prospection;2022-11-09;Standard
CLI-0241;Olivier Millet;Particulier;Muret;31600;Toulouse;Partenaire;2022-11-10;Bon payeur
CLI-0242;Delphine Blanc;Particulier;Toulouse;31000;Toulouse;Bouche-à-oreille;2022-11-11;Bon payeur
