relance_id;devis_id;date_relance;mois;exercice;rang;canal;agence;commercial;issue;duree_min
REL-00033;DEV-00027;2022-08-10;2022-08;2022-2023;3;Téléphone;Toulouse;Julien Fabre;Sans réponse;8.3
REL-00034;DEV-00028;2022-07-23;2022-07;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Sans réponse;13.1
REL-00035;DEV-00029;2022-07-23;2022-07;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Négociation en cours;2.1
REL-00036;DEV-00029;2022-07-28;2022-07;2022-2023;2;Email;Bordeaux;Karim Belkacem;Injoignable;2.7
REL-00037;DEV-00029;2022-08-02;2022-08;2022-2023;3;SMS;Bordeaux;Karim Belkacem;Rappel demandé;4.8
REL-00038;DEV-00030;2022-07-27;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Injoignable;4.2
REL-00039;DEV-00030;2022-08-07;2022-08;2022-2023;2;Email;Bordeaux;Karim Belkacem;Sans réponse;3.2
REL-00040;DEV-00030;2022-08-21;2022-08;2022-2023;3;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;10.8
REL-00041;DEV-00030;2022-08-31;2022-08;2022-2023;4;Email;Bordeaux;Karim Belkacem;Sans réponse;1.4
REL-00042;DEV-00031;2022-07-26;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Rappel demandé;1.3
REL-00043;DEV-00031;2022-08-05;2022-08;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Négociation en cours;9.1
REL-00044;DEV-00031;2022-08-11;2022-08;2022-2023;3;Email;Bordeaux;Karim Belkacem;Rappel demandé;4.4
REL-00045;DEV-00031;2022-08-19;2022-08;2022-2023;4;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;10.1
REL-00046;DEV-00032;2022-07-31;2022-07;2022-2023;1;Email;Bordeaux;Sophie Marchand;Rappel demandé;3.8
REL-00047;DEV-00034;2022-07-29;2022-07;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Injoignable;6.9
REL-00048;DEV-00034;2022-08-08;2022-08;2022-2023;2;Email;Bordeaux;Karim Belkacem;Accord obtenu;4.3
REL-00049;DEV-00035;2022-08-02;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Rappel demandé;1.2
REL-00050;DEV-00035;2022-08-09;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Sans réponse;2.0
REL-00051;DEV-00036;2022-07-28;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;4.2
REL-00052;DEV-00037;2022-07-29;2022-07;2022-2023;1;SMS;Toulouse;Julien Fabre;Injoignable;2.5
REL-00053;DEV-00037;2022-08-10;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Accord obtenu;2.9
REL-00054;DEV-00038;2022-07-29;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Injoignable;3.0
REL-00055;DEV-00040;2022-08-08;2022-08;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Négociation en cours;10.3
REL-00056;DEV-00040;2022-08-17;2022-08;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Sans réponse;8.9
REL-00057;DEV-00040;2022-08-26;2022-08;2022-2023;3;Téléphone;Toulouse;Julien Fabre;Sans réponse;5.6
REL-00058;DEV-00042;2022-08-09;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Rappel demandé;2.8
REL-00059;DEV-00043;2022-08-05;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;2.4
REL-00060;DEV-00044;2022-08-04;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;2.4
REL-00061;DEV-00044;2022-08-10;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Sans réponse;1.9
REL-00062;DEV-00045;2022-08-03;2022-08;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;13.1
REL-00063;DEV-00045;2022-08-09;2022-08;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Négociation en cours;6.3
REL-00064;DEV-00046;2022-08-03;2022-08;2022-2023;1;Email;Bordeaux;Karim Belkacem;Rappel demandé;2.0
REL-00065;DEV-00046;2022-08-12;2022-08;2022-2023;2;Email;Bordeaux;Karim Belkacem;Refus signifié;4.0
REL-00066;DEV-00047;2022-08-06;2022-08;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;1.0
REL-00067;DEV-00048;2022-08-09;2022-08;2022-2023;1;SMS;Bordeaux;Sophie Marchand;Accord obtenu;3.2
REL-00068;DEV-00049;2022-08-06;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;2.8
REL-00069;DEV-00049;2022-08-16;2022-08;2022-2023;2;SMS;Toulouse;Julien Fabre;Refus signifié;1.7
REL-00070;DEV-00050;2022-08-15;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Négociation en cours;3.6
REL-00071;DEV-00050;2022-08-21;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Refus signifié;3.9
REL-00072;DEV-00051;2022-08-13;2022-08;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;11.0
REL-00073;DEV-00052;2022-08-10;2022-08;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;7.6
REL-00074;DEV-00052;2022-08-20;2022-08;2022-2023;2;Email;Bordeaux;Karim Belkacem;Accord obtenu;1.2
REL-00075;DEV-00053;2022-08-14;2022-08;2022-2023;1;Email;Bordeaux;Sophie Marchand;Négociation en cours;5.0
REL-00076;DEV-00053;2022-08-26;2022-08;2022-2023;2;Téléphone;Bordeaux;Sophie Marchand;Sans réponse;11.0
REL-00077;DEV-00053;2022-09-09;2022-09;2022-2023;3;Email;Bordeaux;Sophie Marchand;Rappel demandé;1.1
REL-00078;DEV-00054;2022-08-13;2022-08;2022-2023;1;SMS;Bordeaux;Karim Belkacem;Injoignable;4.8
REL-00079;DEV-00054;2022-08-18;2022-08;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;11.1
REL-00080;DEV-00056;2022-08-17;2022-08;2022-2023;1;SMS;Toulouse;Julien Fabre;Refus signifié;1.0
REL-00081;DEV-00058;2022-08-17;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Injoignable;2.3
REL-00082;DEV-00058;2022-08-26;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Rappel demandé;1.6
REL-00083;DEV-00058;2022-09-06;2022-09;2022-2023;3;Email;Toulouse;Julien Fabre;Injoignable;4.9
REL-00084;DEV-00059;2022-08-17;2022-08;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Accord obtenu;3.6
REL-00085;DEV-00060;2022-08-19;2022-08;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;2.3
REL-00086;DEV-00061;2022-08-23;2022-08;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Injoignable;11.5
REL-00087;DEV-00061;2022-08-31;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Accord obtenu;2.9
REL-00088;DEV-00062;2022-08-18;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Injoignable;4.4
REL-00089;DEV-00064;2022-08-24;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;4.2
REL-00090;DEV-00067;2022-09-02;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Négociation en cours;1.8
REL-00091;DEV-00067;2022-09-13;2022-09;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Sans réponse;13.0
REL-00092;DEV-00068;2022-08-25;2022-08;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Rappel demandé;12.9
REL-00093;DEV-00069;2022-08-25;2022-08;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Refus signifié;5.5
REL-00094;DEV-00071;2022-08-30;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Refus signifié;4.6
REL-00095;DEV-00072;2022-08-30;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;4.5
REL-00096;DEV-00073;2022-08-30;2022-08;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;4.0
REL-00097;DEV-00074;2022-08-31;2022-08;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;11.8
REL-00098;DEV-00075;2022-08-30;2022-08;2022-2023;1;Email;Bordeaux;Karim Belkacem;Injoignable;3.7
REL-00099;DEV-00075;2022-09-11;2022-09;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;8.6
REL-00100;DEV-00076;2022-09-05;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Négociation en cours;3.9
REL-00101;DEV-00077;2022-09-06;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Négociation en cours;4.7
REL-00102;DEV-00077;2022-09-11;2022-09;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Injoignable;5.1
REL-00103;DEV-00077;2022-09-18;2022-09;2022-2023;3;SMS;Toulouse;Julien Fabre;Accord obtenu;1.1
REL-00104;DEV-00078;2022-09-13;2022-09;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;2.9
REL-00105;DEV-00079;2022-09-07;2022-09;2022-2023;1;Email;Bordeaux;Sophie Marchand;Accord obtenu;3.0
REL-00106;DEV-00080;2022-09-06;2022-09;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;10.6
REL-00107;DEV-00080;2022-09-12;2022-09;2022-2023;2;SMS;Bordeaux;Karim Belkacem;Injoignable;3.3
REL-00108;DEV-00080;2022-09-24;2022-09;2022-2023;3;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;4.2
REL-00109;DEV-00081;2022-09-10;2022-09;2022-2023;1;Email;Bordeaux;Sophie Marchand;Sans réponse;1.1
REL-00110;DEV-00081;2022-09-16;2022-09;2022-2023;2;Email;Bordeaux;Sophie Marchand;Sans réponse;3.8
REL-00111;DEV-00084;2022-09-08;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Accord obtenu;11.0
REL-00112;DEV-00085;2022-09-11;2022-09;2022-2023;1;SMS;Toulouse;Julien Fabre;Sans réponse;2.5
REL-00113;DEV-00085;2022-09-22;2022-09;2022-2023;2;Email;Toulouse;Julien Fabre;Accord obtenu;1.5
REL-00114;DEV-00086;2022-09-08;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;7.5
REL-00115;DEV-00086;2022-09-16;2022-09;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Accord obtenu;3.0
REL-00116;DEV-00087;2022-09-11;2022-09;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;5.0
REL-00117;DEV-00088;2022-09-09;2022-09;2022-2023;1;Email;Bordeaux;Sophie Marchand;Sans réponse;3.9
REL-00118;DEV-00088;2022-09-19;2022-09;2022-2023;2;Email;Bordeaux;Sophie Marchand;Refus signifié;1.9
REL-00119;DEV-00092;2022-09-16;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Négociation en cours;12.2
REL-00120;DEV-00093;2022-09-18;2022-09;2022-2023;1;SMS;Bordeaux;Sophie Marchand;Rappel demandé;1.2
REL-00121;DEV-00093;2022-10-02;2022-10;2022-2023;2;Email;Bordeaux;Sophie Marchand;Rappel demandé;3.6
REL-00122;DEV-00093;2022-10-09;2022-10;2022-2023;3;Téléphone;Bordeaux;Sophie Marchand;Rappel demandé;8.8
REL-00123;DEV-00094;2022-09-26;2022-09;2022-2023;1;Email;Bordeaux;Sophie Marchand;Sans réponse;4.6
REL-00124;DEV-00095;2022-09-15;2022-09;2022-2023;1;SMS;Bordeaux;Karim Belkacem;Sans réponse;3.8
REL-00125;DEV-00095;2022-09-25;2022-09;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;3.5
REL-00126;DEV-00097;2022-09-20;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Injoignable;1.4
REL-00127;DEV-00098;2022-09-19;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;2.6
REL-00128;DEV-00099;2022-09-23;2022-09;2022-2023;1;Email;Bordeaux;Karim Belkacem;Négociation en cours;4.7
REL-00129;DEV-00100;2022-09-16;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;7.7
REL-00130;DEV-00101;2022-09-17;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;6.1
REL-00131;DEV-00101;2022-09-22;2022-09;2022-2023;2;Email;Toulouse;Julien Fabre;Injoignable;1.1
REL-00132;DEV-00102;2022-09-27;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;1.1
REL-00133;DEV-00103;2022-09-27;2022-09;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;9.9
REL-00134;DEV-00104;2022-09-20;2022-09;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;2.3
REL-00135;DEV-00104;2022-09-29;2022-09;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;10.3
REL-00136;DEV-00106;2022-09-23;2022-09;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;4.2
REL-00137;DEV-00107;2022-09-27;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Injoignable;1.1
REL-00138;DEV-00107;2022-10-04;2022-10;2022-2023;2;SMS;Toulouse;Julien Fabre;Sans réponse;2.9
REL-00139;DEV-00107;2022-10-13;2022-10;2022-2023;3;Email;Toulouse;Julien Fabre;Accord obtenu;2.6
REL-00140;DEV-00108;2022-09-24;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;2.9
REL-00141;DEV-00108;2022-10-07;2022-10;2022-2023;2;Email;Toulouse;Julien Fabre;Rappel demandé;2.7
REL-00142;DEV-00109;2022-09-22;2022-09;2022-2023;1;Email;Bordeaux;Karim Belkacem;Injoignable;4.7
REL-00143;DEV-00109;2022-10-02;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Injoignable;4.8
REL-00144;DEV-00110;2022-09-26;2022-09;2022-2023;1;Email;Bordeaux;Sophie Marchand;Refus signifié;3.3
REL-00145;DEV-00111;2022-09-28;2022-09;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;11.5
REL-00146;DEV-00113;2022-09-30;2022-09;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;3.6
REL-00147;DEV-00114;2022-10-04;2022-10;2022-2023;1;Email;Toulouse;Julien Fabre;Négociation en cours;4.3
REL-00148;DEV-00114;2022-10-16;2022-10;2022-2023;2;Email;Toulouse;Julien Fabre;Accord obtenu;4.3
REL-00149;DEV-00115;2022-09-29;2022-09;2022-2023;1;Email;Bordeaux;Karim Belkacem;Rappel demandé;2.9
REL-00150;DEV-00115;2022-10-08;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Accord obtenu;2.1
REL-00151;DEV-00116;2022-10-06;2022-10;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;3.9
REL-00152;DEV-00118;2022-10-02;2022-10;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Accord obtenu;7.2
REL-00153;DEV-00122;2022-10-14;2022-10;2022-2023;1;Email;Bordeaux;Sophie Marchand;Rappel demandé;1.5
REL-00154;DEV-00123;2022-10-07;2022-10;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Négociation en cours;6.6
REL-00155;DEV-00123;2022-10-19;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Sans réponse;3.7
REL-00156;DEV-00123;2022-10-25;2022-10;2022-2023;3;SMS;Bordeaux;Karim Belkacem;Accord obtenu;1.5
REL-00157;DEV-00124;2022-10-07;2022-10;2022-2023;1;SMS;Toulouse;Julien Fabre;Rappel demandé;3.1
REL-00158;DEV-00125;2022-10-14;2022-10;2022-2023;1;SMS;Bordeaux;Sophie Marchand;Sans réponse;2.1
REL-00159;DEV-00126;2022-10-08;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Rappel demandé;2.9
REL-00160;DEV-00126;2022-10-14;2022-10;2022-2023;2;SMS;Bordeaux;Karim Belkacem;Sans réponse;2.1
REL-00161;DEV-00128;2022-10-15;2022-10;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Injoignable;7.2
REL-00162;DEV-00128;2022-10-24;2022-10;2022-2023;2;Email;Bordeaux;Sophie Marchand;Rappel demandé;2.6
REL-00163;DEV-00129;2022-10-16;2022-10;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Rappel demandé;11.4
REL-00164;DEV-00129;2022-10-26;2022-10;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Refus signifié;4.6
REL-00165;DEV-00130;2022-10-13;2022-10;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;6.8
REL-00166;DEV-00130;2022-10-24;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Sans réponse;1.3
REL-00167;DEV-00131;2022-10-14;2022-10;2022-2023;1;SMS;Bordeaux;Karim Belkacem;Injoignable;1.8
REL-00168;DEV-00131;2022-10-27;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Rappel demandé;2.7
REL-00169;DEV-00132;2022-10-16;2022-10;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Négociation en cours;13.5
REL-00170;DEV-00132;2022-10-30;2022-10;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Sans réponse;2.8
REL-00171;DEV-00134;2022-10-15;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;4.8
REL-00172;DEV-00135;2022-10-17;2022-10;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;1.2
REL-00173;DEV-00136;2022-10-28;2022-10;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Refus signifié;6.1
REL-00174;DEV-00137;2022-10-19;2022-10;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Refus signifié;2.9
REL-00175;DEV-00138;2022-10-18;2022-10;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Rappel demandé;10.0
REL-00176;DEV-00140;2022-10-19;2022-10;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Rappel demandé;3.5
REL-00177;DEV-00140;2022-11-01;2022-11;2022-2023;2;Téléphone;Bordeaux;Sophie Marchand;Accord obtenu;4.5
REL-00178;DEV-00141;2022-10-25;2022-10;2022-2023;1;Email;Toulouse;Julien Fabre;Rappel demandé;2.9
REL-00179;DEV-00141;2022-11-05;2022-11;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Injoignable;4.5
REL-00180;DEV-00143;2022-10-25;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;4.1
REL-00181;DEV-00143;2022-10-30;2022-10;2022-2023;2;Email;Bordeaux;Karim Belkacem;Sans réponse;2.7
REL-00182;DEV-00143;2022-11-06;2022-11;2022-2023;3;Email;Bordeaux;Karim Belkacem;Rappel demandé;2.4
REL-00183;DEV-00144;2022-10-28;2022-10;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;11.6
REL-00184;DEV-00144;2022-11-08;2022-11;2022-2023;2;Email;Toulouse;Julien Fabre;Rappel demandé;2.2
REL-00185;DEV-00145;2022-10-22;2022-10;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;13.0
REL-00186;DEV-00146;2022-10-31;2022-10;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Injoignable;2.7
REL-00187;DEV-00146;2022-11-05;2022-11;2022-2023;2;Email;Toulouse;Julien Fabre;Refus signifié;4.7
REL-00188;DEV-00147;2022-10-25;2022-10;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;7.7
REL-00189;DEV-00147;2022-11-01;2022-11;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Rappel demandé;3.6
REL-00190;DEV-00147;2022-11-08;2022-11;2022-2023;3;Email;Bordeaux;Karim Belkacem;Accord obtenu;3.2
REL-00191;DEV-00148;2022-10-27;2022-10;2022-2023;1;Email;Bordeaux;Sophie Marchand;Accord obtenu;2.7
REL-00192;DEV-00149;2022-10-30;2022-10;2022-2023;1;Email;Bordeaux;Sophie Marchand;Accord obtenu;2.1
REL-00193;DEV-00151;2022-10-30;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;3.4
REL-00194;DEV-00153;2022-10-29;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Négociation en cours;1.1
REL-00195;DEV-00154;2022-10-29;2022-10;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;3.7
REL-00196;DEV-00154;2022-11-05;2022-11;2022-2023;2;Email;Bordeaux;Karim Belkacem;Accord obtenu;1.5
REL-00197;DEV-00156;2022-11-05;2022-11;2022-2023;1;Email;Toulouse;Julien Fabre;Rappel demandé;3.1
REL-00198;DEV-00156;2022-11-14;2022-11;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Rappel demandé;11.1
REL-00199;DEV-00156;2022-11-22;2022-11;2022-2023;3;Email;Toulouse;Julien Fabre;Sans réponse;3.5
REL-00200;DEV-00156;2022-11-30;2022-11;2022-2023;4;Téléphone;Toulouse;Julien Fabre;Accord obtenu;12.1
REL-00201;DEV-00157;2022-11-02;2022-11;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;8.0
REL-00202;DEV-00158;2022-11-10;2022-11;2022-2023;1;Email;Bordeaux;Sophie Marchand;Sans réponse;2.7
REL-00203;DEV-00160;2022-11-03;2022-11;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;3.3
REL-00204;DEV-00161;2022-11-04;2022-11;2022-2023;1;Email;Bordeaux;Sophie Marchand;Sans réponse;2.1
REL-00205;DEV-00162;2022-11-05;2022-11;2022-2023;1;Email;Bordeaux;Karim Belkacem;Refus signifié;2.0
REL-00206;DEV-00164;2022-11-08;2022-11;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;2.7
REL-00207;DEV-00165;2022-11-12;2022-11;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;2.2
REL-00208;DEV-00166;2022-11-18;2022-11;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Refus signifié;11.1
REL-00209;DEV-00167;2022-11-10;2022-11;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Sans réponse;9.9
REL-00210;DEV-00167;2022-11-23;2022-11;2022-2023;2;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;6.8
REL-00211;DEV-00168;2022-11-13;2022-11;2022-2023;1;Email;Bordeaux;Karim Belkacem;Rappel demandé;1.0
REL-00212;DEV-00170;2022-11-14;2022-11;2022-2023;1;SMS;Bordeaux;Karim Belkacem;Injoignable;3.1
REL-00213;DEV-00170;2022-11-20;2022-11;2022-2023;2;Email;Bordeaux;Karim Belkacem;Sans réponse;3.4
REL-00214;DEV-00171;2022-11-19;2022-11;2022-2023;1;SMS;Toulouse;Julien Fabre;Rappel demandé;1.7
REL-00215;DEV-00172;2022-11-19;2022-11;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Injoignable;11.4
REL-00216;DEV-00172;2022-11-30;2022-11;2022-2023;2;Email;Toulouse;Julien Fabre;Accord obtenu;4.6
REL-00217;DEV-00174;2022-11-21;2022-11;2022-2023;1;Email;Toulouse;Julien Fabre;Accord obtenu;2.7
REL-00218;DEV-00175;2022-11-21;2022-11;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Injoignable;10.4
