intervention_id;devis_id;date_intervention;mois;exercice;technicien_id;technicien;agence;categorie;heures_devisees;heures_reelles;cout_horaire;cout_main_oeuvre;cout_materiel;statut_intervention
INT-00044;DEV-00115;2022-10-17;2022-10;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.8;2.0;31.0;62.0;244.16;Terminée
INT-00045;DEV-00116;2022-11-30;2022-11;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;5.7;7.3;32.0;233.6;642.73;Terminée
INT-00046;DEV-00118;2022-10-31;2022-10;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;16.2;15.9;31.0;492.9;1962.24;Terminée
INT-00047;DEV-00123;2022-11-15;2022-11;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;17.0;16.6;31.0;514.6;1985.85;Terminée
INT-00048;DEV-00126;2022-11-01;2022-11;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;12.1;11.8;35.0;413.0;4056.31;Terminée
INT-00049;DEV-00127;2022-11-14;2022-11;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.5;1.7;33.0;56.1;90.07;Terminée
INT-00050;DEV-00132;2022-11-14;2022-11;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;1.4;1.4;30.0;42.0;115.61;Terminée
INT-00051;DEV-00134;2022-11-24;2022-11;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;14.4;13.1;33.0;432.3;1595.33;Terminée
INT-00052;DEV-00135;2022-11-28;2022-11;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;10.2;9.4;36.0;338.4;1393.24;Terminée
INT-00053;DEV-00140;2022-12-12;2022-12;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;3.2;3.6;33.0;118.8;204.04;Terminée
INT-00054;DEV-00141;2022-11-29;2022-11;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.4;1.8;32.0;57.6;108.96;Terminée
INT-00055;DEV-00143;2022-11-25;2022-11;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.8;6.2;31.0;192.2;463.65;Terminée
INT-00056;DEV-00145;2022-11-28;2022-11;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;4.9;4.7;32.0;150.4;650.65;Terminée
INT-00057;DEV-00147;2022-11-25;2022-11;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;39.4;37.6;33.0;1240.8;4039.95;Terminée
INT-00058;DEV-00148;2022-12-14;2022-12;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.7;6.3;33.0;207.9;1219.54;Terminée
INT-00059;DEV-00149;2022-11-29;2022-11;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.0;1.0;32.0;32.0;73.46;Terminée
INT-00060;DEV-00151;2022-11-23;2022-11;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.2;2.0;32.0;64.0;179.42;Terminée
INT-00061;DEV-00153;2022-12-02;2022-12;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.4;1.5;31.0;46.5;91.99;Terminée
INT-00062;DEV-00154;2022-12-14;2022-12;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.4;1.3;35.0;45.5;104.6;Terminée
INT-00063;DEV-00155;2022-12-01;2022-12;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;6.3;7.0;31.0;217.0;845.62;Terminée
INT-00064;DEV-00156;2022-12-15;2022-12;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;31.4;30.5;30.0;915.0;3843.55;Terminée
INT-00065;DEV-00160;2022-12-09;2022-12;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;17.0;18.4;33.0;607.2;2160.94;Terminée
INT-00066;DEV-00164;2022-12-20;2022-12;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;2.1;2.4;30.0;72.0;172.59;Terminée
INT-00067;DEV-00167;2022-12-14;2022-12;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;10.3;9.6;33.0;316.8;1220.04;Terminée
INT-00068;DEV-00170;2022-12-20;2022-12;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;13.1;11.6;35.0;406.0;2543.31;Terminée
INT-00069;DEV-00172;2023-01-09;2023-01;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;16.3;20.2;32.0;646.4;1574.78;Terminée
INT-00070;DEV-00174;2022-12-19;2022-12;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.0;1.2;32.0;38.4;64.63;Terminée
INT-00071;DEV-00178;2023-01-12;2023-01;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;50.5;49.5;31.0;1534.5;5202.26;Terminée
INT-00072;DEV-00179;2022-12-26;2022-12;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;9.5;9.5;35.0;332.5;1165.32;Terminée
INT-00073;DEV-00180;2023-01-02;2023-01;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;44.6;47.1;33.0;1554.3;4883.82;Terminée
INT-00074;DEV-00181;2022-12-26;2022-12;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;7.6;8.8;32.0;281.6;661.75;Terminée
INT-00075;DEV-00182;2022-12-19;2022-12;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.4;1.5;32.0;48.0;85.44;Terminée
INT-00076;DEV-00185;2023-01-23;2023-01;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;16.7;18.2;32.0;582.4;2800.12;Terminée
INT-00077;DEV-00188;2023-01-24;2023-01;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;9.5;11.5;32.0;368.0;1255.84;Terminée
INT-00078;DEV-00189;2023-01-02;2023-01;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.0;1.0;33.0;33.0;134.61;Terminée
INT-00079;DEV-00193;2023-01-23;2023-01;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;28.5;29.5;35.0;1032.5;8670.99;Terminée
INT-00080;DEV-00194;2022-12-21;2022-12;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;4.8;4.5;32.0;144.0;600.71;Terminée
INT-00081;DEV-00195;2023-01-11;2023-01;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;29.6;29.4;36.0;1058.4;6760.53;Terminée
INT-00082;DEV-00196;2023-01-30;2023-01;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;6.3;5.4;35.0;189.0;428.62;Terminée
INT-00083;DEV-00199;2023-01-10;2023-01;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;14.3;14.5;30.0;435.0;1178.33;Terminée
INT-00084;DEV-00206;2023-02-16;2023-02;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;5.5;5.2;30.0;156.0;595.68;Terminée
INT-00085;DEV-00207;2023-01-11;2023-01;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.5;1.6;32.0;51.2;69.6;Terminée
INT-00086;DEV-00211;2023-01-26;2023-01;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;42.8;51.8;32.0;1657.6;4946.51;Terminée
INT-00087;DEV-00212;2023-01-26;2023-01;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;5.0;5.0;31.0;155.0;338.55;Terminée
INT-00088;DEV-00215;2023-01-05;2023-01;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;27.5;25.5;36.0;918.0;7983.61;Terminée
INT-00089;DEV-00216;2023-02-13;2023-02;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;28.0;27.1;35.0;948.5;11766.83;Terminée
INT-00090;DEV-00217;2023-02-07;2023-02;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;42.0;41.1;36.0;1479.6;10021.44;Terminée
INT-00091;DEV-00218;2023-01-19;2023-01;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;10.5;10.8;33.0;356.4;1397.13;Terminée
INT-00092;DEV-00220;2023-01-30;2023-01;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;13.6;11.6;35.0;406.0;2674.23;Terminée
INT-00093;DEV-00222;2023-02-03;2023-02;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.8;1.8;35.0;63.0;265.15;Terminée
INT-00094;DEV-00226;2023-01-23;2023-01;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;1.1;1.0;35.0;35.0;49.64;Terminée
INT-00095;DEV-00229;2023-02-06;2023-02;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.0;2.0;32.0;64.0;164.2;Terminée
INT-00096;DEV-00232;2023-01-23;2023-01;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.0;1.0;31.0;31.0;106.26;Terminée
INT-00097;DEV-00233;2023-02-08;2023-02;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;40.7;38.5;31.0;1193.5;10753.83;Terminée
INT-00098;DEV-00236;2023-02-10;2023-02;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.5;2.9;36.0;104.4;274.77;Terminée
INT-00099;DEV-00241;2023-02-15;2023-02;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;1.4;1.3;30.0;39.0;111.77;Terminée
INT-00100;DEV-00244;2023-02-06;2023-02;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;1.0;1.0;36.0;36.0;46.74;Terminée
INT-00101;DEV-00247;2023-02-06;2023-02;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;12.7;12.9;35.0;451.5;3381.41;Terminée
INT-00102;DEV-00248;2023-02-13;2023-02;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;44.4;48.2;33.0;1590.6;8463.63;Terminée
INT-00103;DEV-00249;2023-02-20;2023-02;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.4;1.4;35.0;49.0;89.06;Terminée
INT-00104;DEV-00252;2023-02-13;2023-02;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;40.9;40.4;31.0;1252.4;6213.05;Terminée
INT-00105;DEV-00253;2023-03-13;2023-03;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;25.9;25.0;32.0;800.0;3600.51;Terminée
INT-00106;DEV-00256;2023-02-16;2023-02;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;42.9;53.2;32.0;1702.4;8903.83;Terminée
INT-00107;DEV-00257;2023-03-13;2023-03;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;26.7;25.1;36.0;903.6;17014.48;Terminée
INT-00108;DEV-00258;2023-03-14;2023-03;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;3.1;2.7;35.0;94.5;200.2;Terminée
INT-00109;DEV-00261;2023-02-13;2023-02;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;2.2;2.5;31.0;77.5;129.82;Terminée
INT-00110;DEV-00264;2023-03-13;2023-03;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.9;1.9;33.0;62.7;285.46;Terminée
INT-00111;DEV-00268;2023-03-06;2023-03;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;29.8;28.1;32.0;899.2;3368.14;Terminée
INT-00112;DEV-00269;2023-03-08;2023-03;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;16.1;15.7;30.0;471.0;2124.47;Terminée
INT-00113;DEV-00270;2023-02-06;2023-02;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.1;5.7;31.0;176.7;1041.43;Terminée
INT-00114;DEV-00271;2023-03-06;2023-03;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.7;1.5;35.0;52.5;95.43;Terminée
INT-00115;DEV-00273;2023-03-07;2023-03;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.5;1.3;36.0;46.8;105.6;Terminée
INT-00116;DEV-00276;2023-03-28;2023-03;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;4.3;4.2;30.0;126.0;691.76;Terminée
INT-00117;DEV-00277;2023-04-06;2023-04;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.8;3.7;35.0;129.5;246.06;Terminée
INT-00118;DEV-00280;2023-03-13;2023-03;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;2.8;2.8;32.0;89.6;198.3;Terminée
INT-00119;DEV-00281;2023-03-07;2023-03;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.8;3.4;35.0;119.0;279.17;Terminée
INT-00120;DEV-00283;2023-03-08;2023-03;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.4;1.4;32.0;44.8;106.29;Terminée
INT-00121;DEV-00286;2023-03-13;2023-03;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.7;1.6;36.0;57.6;220.19;Terminée
INT-00122;DEV-00287;2023-03-22;2023-03;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;17.0;16.8;32.0;537.6;3065.1;Terminée
INT-00123;DEV-00292;2023-04-03;2023-04;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;45.3;43.7;31.0;1354.7;8061.08;Terminée
INT-00124;DEV-00294;2023-03-21;2023-03;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;5.1;5.0;32.0;160.0;278.75;Terminée
INT-00125;DEV-00303;2023-03-07;2023-03;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;28.8;27.9;36.0;1004.4;6206.53;Terminée
INT-00126;DEV-00305;2023-03-22;2023-03;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.1;1.2;33.0;39.6;61.61;Terminée
INT-00127;DEV-00311;2023-05-05;2023-05;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;3.7;3.2;35.0;112.0;271.78;Terminée
INT-00128;DEV-00312;2023-04-03;2023-04;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;4.1;3.8;32.0;121.6;240.35;Terminée
INT-00129;DEV-00316;2023-04-03;2023-04;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;42.1;45.6;32.0;1459.2;5512.03;Terminée
INT-00130;DEV-00317;2023-04-27;2023-04;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.0;1.9;32.0;60.8;153.44;Terminée
INT-00131;DEV-00318;2023-04-10;2023-04;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.4;1.3;36.0;46.8;85.04;Terminée
INT-00132;DEV-00320;2023-04-03;2023-04;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.1;1.1;31.0;34.1;75.9;Terminée
INT-00133;DEV-00326;2023-04-04;2023-04;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;46.3;43.2;32.0;1382.4;4381.7;Terminée
INT-00134;DEV-00329;2023-04-21;2023-04;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;13.8;13.5;32.0;432.0;3089.88;Terminée
INT-00135;DEV-00333;2023-03-31;2023-03;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;5.0;4.6;32.0;147.2;660.49;Terminée
INT-00136;DEV-00335;2023-05-01;2023-05;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Salle de bain;15.8;13.5;36.0;486.0;1846.43;Terminée
INT-00137;DEV-00336;2023-04-24;2023-04;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;4.5;4.1;31.0;127.1;294.17;Terminée
INT-00138;DEV-00337;2023-05-01;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;15.9;16.4;33.0;541.2;1429.73;Terminée
INT-00139;DEV-00338;2023-03-28;2023-03;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;28.0;32.5;30.0;975.0;2972.15;Terminée
INT-00140;DEV-00339;2023-04-14;2023-04;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;44.8;48.5;32.0;1552.0;4925.74;Terminée
INT-00141;DEV-00341;2023-04-19;2023-04;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.9;1.6;36.0;57.6;109.92;Terminée
INT-00142;DEV-00342;2023-05-03;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;16.2;15.8;31.0;489.8;1843.77;Terminée
INT-00143;DEV-00344;2023-05-11;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.0;1.0;31.0;31.0;63.54;Terminée
INT-00144;DEV-00347;2023-05-01;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;6.7;7.0;33.0;231.0;1258.19;Terminée
INT-00145;DEV-00349;2023-05-25;2023-05;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;48.2;48.5;30.0;1455.0;13194.45;Terminée
INT-00146;DEV-00351;2023-05-11;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.7;6.1;33.0;201.3;707.03;Terminée
INT-00147;DEV-00352;2023-04-27;2023-04;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;24.3;23.0;30.0;690.0;3462.24;Terminée
INT-00148;DEV-00353;2023-05-09;2023-05;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;1.9;1.7;32.0;54.4;176.47;Terminée
INT-00149;DEV-00354;2023-05-02;2023-05;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;6.4;6.9;32.0;220.8;1884.91;Terminée
INT-00150;DEV-00355;2023-04-18;2023-04;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;42.5;43.9;33.0;1448.7;6242.02;Terminée
INT-00151;DEV-00356;2023-04-26;2023-04;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;12.9;13.3;32.0;425.6;1765.54;Terminée
INT-00152;DEV-00360;2023-05-22;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.5;1.6;31.0;49.6;104.92;Terminée
INT-00153;DEV-00361;2023-05-04;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;11.1;11.5;31.0;356.5;1162.25;Terminée
INT-00154;DEV-00364;2023-05-01;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;16.1;15.3;31.0;474.3;1987.54;Terminée
INT-00155;DEV-00366;2023-05-09;2023-05;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Dépannage;1.4;1.2;36.0;43.2;202.15;Terminée
INT-00156;DEV-00368;2023-05-01;2023-05;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;9.5;9.7;33.0;320.1;2514.29;Terminée
INT-00157;DEV-00369;2023-05-16;2023-05;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;39.3;38.1;32.0;1219.2;4597.91;Terminée
INT-00158;DEV-00370;2023-06-16;2023-06;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;17.4;16.6;31.0;514.6;2474.32;Terminée
INT-00159;DEV-00373;2023-05-29;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;17.5;16.3;31.0;505.3;1768.84;Terminée
INT-00160;DEV-00376;2023-05-15;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;2.3;2.5;31.0;77.5;122.98;Terminée
INT-00161;DEV-00379;2023-05-29;2023-05;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;50.2;47.1;31.0;1460.1;4706.55;Terminée
INT-00162;DEV-00382;2023-06-08;2023-06;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;6.4;7.0;32.0;224.0;890.16;Terminée
